,geoUnit,year,GraduationRate,Spending
288,EST,2010,24.65340995788574,21.10894012451172
289,EST,2011,25.31571006774902,24.1600399017334
290,EST,2013,42.53385925292969,24.82328987121582
291,EST,2014,44.38977813720703,30.23908996582031
292,EST,2018,45.08271026611328,25.18020057678223
293,EST,2019,43.26900863647461,27.14539909362793
294,EST,2020,45.94615936279297,28.88238906860352
295,EST,2021,49.28039932250977,29.15584945678711
296,ETH,2010,4.703889846801758,283.276123046875
297,FIN,2000,42.30435180664063,37.22206115722656
298,FIN,2001,48.09872055053711,35.69475936889648
299,FIN,2002,53.72504043579102,35.80501937866211
300,FIN,2003,55.06869888305664,35.30934143066406
301,FIN,2004,55.50804138183594,34.56806182861328
302,FIN,2006,55.10377883911133,31.98361015319824
303,FIN,2007,57.61103820800781,30.42654991149902
304,FIN,2009,44.08488082885742,36.90375900268555
305,FIN,2010,48.11661911010742,36.6002197265625
306,FIN,2011,51.20787811279297,36.0676383972168
307,FIN,2012,49.74301910400391,35.78932189941406
308,FIN,2013,50.18181991577148,35.30862045288086
309,FIN,2014,51.38045883178711,35.55001068115234
310,FIN,2015,54.37070846557617,34.25909042358398
311,FIN,2016,54.83919143676758,33.70663833618164
312,FIN,2017,54.87807083129883,30.83058929443359
313,FIN,2018,58.17800903320313,28.77236938476563
314,FIN,2019,60.32329177856445,28.21978950500488
315,FIN,2020,64.4451904296875,29.25897979736328
316,FIN,2021,64.46266174316406,27.44860076904297
317,FJI,2004,8.108579635620117,66.8912124633789
318,FRA,2018,46.42541885375977,30.28800010681152
319,FRA,2019,48.05942153930664,29.38702964782715
320,FRA,2020,50.84603881835938,29.89797973632813
321,FRA,2021,54.17329025268555,27.06167984008789
322,GBR,2000,37.19667053222656,20.43362045288086
323,GBR,2001,37.47663116455078,20.1336498260498
324,GBR,2002,38.28511810302734,25.1131591796875
325,GBR,2003,39.49425888061523,24.62113952636719
326,GBR,2004,39.36936950683594,24.24839019775391
327,GBR,2005,40.05112075805664,28.8186206817627
328,GBR,2006,39.73437881469727,25.8643798828125
329,GBR,2007,39.32339859008789,22.04788017272949
330,GBR,2008,41.32352066040039,20.30360984802246
331,GBR,2009,40.78506851196289,18.61681938171387
332,GBR,2010,42.23812866210938,23.46870994567871
333,GBR,2011,43.63376998901367,31.00909996032715
334,GBR,2013,46.350341796875,39.75466156005859
335,GBR,2014,52.06147003173828,40.73984146118164
336,GBR,2019,50.48426055908203,37.44511032104492
337,GBR,2020,50.48093032836914,37.00223922729492
338,GBR,2021,54.45647811889648,38.88245010375977
339,GEO,2008,57.16233062744141,10.0113000869751
340,GEO,2011,31.05596923828125,9.53660011291504
341,GEO,2012,20.92661094665527,13.38224983215332
342,GEO,2016,32.07381820678711,10.64990043640137
343,GEO,2017,33.34832000732422,9.174110412597656
344,GEO,2018,43.9958381652832,10.21671962738037
345,GEO,2019,37.77817153930664,8.182519912719727
346,GEO,2021,38.51078033447266,6.097420215606689
347,GHA,2012,8.262330055236816,131.6257171630859
348,GHA,2013,8.621930122375488,68.29525756835938
349,GIN,2014,8.900230407714844,91.14063262939452
350,GMB,2011,0.2211000025272369,62.20059967041016
351,GMB,2012,0.0965500026941299,67.83463287353516
352,GRC,2004,17.66793060302734,23.31320953369141
353,GRC,2005,22.17024993896484,18.56772994995117
354,GRC,2017,44.13436889648438,8.830160140991211
355,GRC,2018,43.81925964355469,8.829350471496582
356,GRC,2019,42.25453948974609,9.869600296020508
357,GTM,2007,1.546769976615906,19.42473983764648
358,GTM,2014,4.534599781036377,18.56595039367676
359,GTM,2015,4.516580104827881,17.73822021484375
360,GUY,2004,7.101459980010986,37.49608993530273
361,GUY,2006,5.90418004989624,16.81748962402344
362,GUY,2007,3.299489974975586,14.14641952514648
363,GUY,2009,3.58804988861084,16.65696907043457
364,GUY,2010,2.553889989852905,9.150039672851562
365,GUY,2011,3.358489990234375,8.619279861450195
366,GUY,2012,2.740629911422729,9.530309677124023
367,HKG,2004,19.39193916320801,63.03683853149414
368,HKG,2005,18.72051048278809,52.22150039672852
369,HKG,2006,19.08669090270996,50.37129974365234
370,HND,2012,8.938440322875977,48.9687385559082
371,HND,2013,8.779500007629395,52.97929000854492
372,HND,2014,9.869099617004396,47.80133819580078
373,HND,2015,9.278590202331545,41.75228881835938
374,HRV,2002,14.67148017883301,27.98720932006836
375,HRV,2003,16.04656028747559,25.37014007568359
376,HRV,2004,15.71858978271484,23.58612060546875
377,HRV,2007,19.21269989013672,24.18926048278809
378,HRV,2008,26.35651016235352,28.21162033081055
379,HRV,2009,35.90156936645508,25.54957962036133
380,HRV,2010,41.65805053710938,22.13932037353516
381,HRV,2011,47.68941116333008,25.34660911560059
382,HRV,2017,46.10931015014648,20.72999954223633
383,HRV,2018,47.4970817565918,20.33522033691406
384,HRV,2019,45.27085876464844,3.098530054092407
385,HRV,2020,46.65316009521484,22.53116989135742
386,HUN,2005,42.32498168945313,23.25071907043457
387,HUN,2006,42.44831085205078,23.2449893951416
388,HUN,2007,39.74082183837891,23.58576011657715
389,HUN,2008,36.24443817138672,24.12088966369629
390,HUN,2009,39.80086135864258,27.4974308013916
391,HUN,2010,38.68056869506836,24.42453956604004
392,HUN,2011,32.65668869018555,27.86986923217773
393,HUN,2012,31.03517913818359,21.001220703125
394,HUN,2013,29.72566986083984,25.32228088378906
395,HUN,2014,30.53833961486816,23.17835998535156
396,HUN,2015,33.41091918945313,20.88966941833496
397,HUN,2016,33.03256988525391,24.89483070373535
398,HUN,2017,29.73978996276855,28.37121963500977
399,HUN,2018,31.04597091674805,27.97772979736328
400,HUN,2019,31.09464073181152,25.67196083068848
401,HUN,2020,132.304443359375,26.02627944946289
402,HUN,2021,42.50836944580078,44.2570686340332
403,IDN,2009,11.65402984619141,21.26716995239258
404,IDN,2010,13.70701026916504,22.02858924865723
405,IDN,2012,14.10402965545654,23.4942798614502
406,IDN,2015,19.55654907226563,20.82675933837891
407,IND,2013,32.18109893798828,49.61154174804688
408,IND,2015,29.36384010314941,51.18164825439453
409,IND,2016,29.19529914855957,50.27798080444336
410,IND,2017,28.54762077331543,57.84532928466797
411,IND,2018,28.25447082519531,56.16915893554688
